ANC_ID,CAPITOL HILL,CENTRAL WASHINGTON,FAR NORTHEAST AND SOUTHEAST,FAR SOUTHEAST AND SOUTHWEST,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,MID-CITY,NEAR NORTHWEST,ROCK CREEK EAST,ROCK CREEK WEST,UPPER NORTHEAST
1A,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0
1B,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0
1C,0.0,0.0,0.0,0.0,0.0,13.3,0.2,0.0,0.0,0.0
1D,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0
1E,0.0,0.0,0.0,0.0,0.0,19.8,0.0,0.0,0.0,0.0
2A,0.0,35.0,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0
2B,0.0,3.2,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0
2C,0.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2D,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2E,0.0,0.0,0.0,0.0,0.0,0.0,41.6,0.0,0.0,0.0
2F,0.0,0.1,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0
2G,0.0,1.3,0.0,0.0,0.0,0.4,11.1,0.0,0.0,0.0
3/4G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0
3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0
3C,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,13.8,0.0
3D,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,27.7,0.0
3E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
3F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0
4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0.0,0.0
4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,0.0,0.0
4C,0.0,0.0,0.0,0.0,0.0,0.4,0.0,11.1,0.0,0.0
4D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0
4E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,22.5
5B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6
5C,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,30.1
5D,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8
5E,0.0,0.0,0.0,0.0,0.0,9.3,5.2,1.5,0.0,1.5
5F,0.0,1.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,6.4
6A,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6B,33.4,0.4,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0
6C,16.2,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6D,0.0,6.4,0.0,0.0,61.8,0.0,0.0,0.0,0.0,0.0
6E,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7B,0.3,0.0,29.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
7C,0.0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7D,23.4,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7E,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7F,6.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8A,0.0,0.0,6.7,6.1,4.6,0.0,0.0,0.0,0.0,0.0
8B,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0
8C,0.0,0.0,0.0,16.8,7.1,0.0,0.0,0.0,0.0,0.0
8D,0.0,0.0,0.0,56.0,4.8,0.0,0.0,0.0,0.0,0.0
8E,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0
8F,0.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,0.0
