ANC_ID,CAPITOL HILL,CENTRAL WASHINGTON,FAR NORTHEAST AND SOUTHEAST,FAR SOUTHEAST AND SOUTHWEST,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,MID-CITY,NEAR NORTHWEST,ROCK CREEK EAST,ROCK CREEK WEST,UPPER NORTHEAST
1A,0.0,0.0,0.0,0.0,0.0,1863276.0,0.0,0.0,0.0,0.0
1B,0.0,0.0,0.0,0.0,0.0,2418740.0,3854.0,0.0,0.0,0.0
1C,0.0,0.0,0.0,0.0,0.0,1989222.0,25631.0,0.0,10899.0,0.0
1D,0.0,0.0,0.0,0.0,0.0,1764008.0,0.0,0.0,15793.0,0.0
1E,0.0,0.0,0.0,0.0,0.0,2784727.0,0.0,0.0,0.0,0.0
2A,0.0,9131085.0,0.0,0.0,0.0,0.0,2071628.0,0.0,0.0,0.0
2B,0.0,372041.0,0.0,0.0,0.0,27.0,1809162.0,0.0,0.0,0.0
2C,0.0,5037943.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0
2D,0.0,0.0,0.0,0.0,0.0,332.0,1312570.0,0.0,3917.0,0.0
2E,0.0,13.0,0.0,0.0,0.0,0.0,7522131.0,0.0,4261.0,0.0
2F,0.0,21217.0,0.0,0.0,0.0,12.0,1262873.0,0.0,0.0,0.0
2G,0.0,179451.0,0.0,0.0,0.0,50723.0,1571456.0,0.0,0.0,0.0
3/4G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27840.0,11362792.0,0.0
3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075090.0,0.0
3B,0.0,0.0,0.0,0.0,0.0,0.0,116287.0,0.0,2203447.0,0.0
3C,0.0,0.0,0.0,0.0,0.0,13880.0,17275.0,1242.0,7788894.0,0.0
3D,0.0,0.0,0.0,0.0,0.0,0.0,312968.0,0.0,16073410.0,0.0
3E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6989882.0,0.0
3F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8174.0,7978634.0,0.0
4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8246563.0,28602.0,0.0
4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8043865.0,0.0,2558.0
4C,0.0,0.0,0.0,0.0,0.0,45070.0,0.0,2753716.0,0.0,0.0
4D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3632955.0,0.0,118.0
4E,0.0,0.0,0.0,0.0,0.0,54073.0,0.0,6588626.0,41362.0,0.0
5A,0.0,0.0,0.0,0.0,0.0,6619.0,0.0,2129471.0,0.0,7498233.0
5B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7642221.0
5C,0.0,0.0,8688.0,0.0,0.0,28561.0,0.0,0.0,0.0,14435239.0
5D,19354.0,612.0,8282.0,0.0,0.0,1742.0,0.0,0.0,0.0,5946820.0
5E,0.0,0.0,0.0,0.0,0.0,1168451.0,708907.0,627739.0,0.0,878636.0
5F,0.0,118392.0,0.0,0.0,0.0,1318229.0,2167.0,0.0,0.0,2012994.0
6A,2463002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586.0
6B,4634268.0,1034236.0,4540.0,0.0,771656.0,0.0,0.0,0.0,0.0,0.0
6C,1919403.0,1387063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6D,0.0,1816492.0,0.0,1707.0,11885262.0,0.0,0.0,0.0,0.0,0.0
6E,0.0,2882622.0,0.0,0.0,0.0,0.0,3278.0,0.0,0.0,0.0
7B,33117.0,0.0,11899893.0,16824.0,35379.0,0.0,0.0,0.0,0.0,0.0
7C,0.0,0.0,7177503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7D,3908431.0,0.0,6174095.0,0.0,0.0,0.0,0.0,0.0,0.0,12881.0
7E,0.0,0.0,4006747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7F,1123215.0,0.0,5213985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8A,0.0,0.0,1957644.0,2603021.0,1637352.0,0.0,0.0,0.0,0.0,0.0
8B,0.0,0.0,1651.0,3139155.0,0.0,0.0,0.0,0.0,0.0,0.0
8C,0.0,0.0,0.0,8608380.0,3097043.0,0.0,0.0,0.0,0.0,0.0
8D,0.0,0.0,0.0,24250607.0,654869.0,0.0,0.0,0.0,0.0,0.0
8E,0.0,0.0,0.0,4660330.0,0.0,0.0,0.0,0.0,0.0,0.0
8F,0.0,0.0,0.0,0.0,3009204.0,0.0,0.0,0.0,0.0,0.0
