ANC_ID,CAPITOL HILL,CENTRAL WASHINGTON,FAR NORTHEAST AND SOUTHEAST,FAR SOUTHEAST AND SOUTHWEST,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,MID-CITY,NEAR NORTHWEST,ROCK CREEK EAST,ROCK CREEK WEST,UPPER NORTHEAST
1A,0.0,0.0,0.0,0.0,0.0,1845248.0,0.0,0.0,0.0,0.0
1B,0.0,0.0,0.0,0.0,0.0,2294258.0,3854.0,0.0,0.0,0.0
1C,0.0,0.0,0.0,0.0,0.0,1616579.0,24024.0,0.0,0.0,0.0
1D,0.0,0.0,0.0,0.0,0.0,1411848.0,0.0,0.0,0.0,0.0
1E,0.0,0.0,0.0,0.0,0.0,2404953.0,0.0,0.0,0.0,0.0
2A,0.0,3938593.0,0.0,0.0,0.0,0.0,1706743.0,0.0,0.0,0.0
2B,0.0,362444.0,0.0,0.0,0.0,27.0,1773731.0,0.0,0.0,0.0
2C,0.0,3025272.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0
2D,0.0,0.0,0.0,0.0,0.0,332.0,961630.0,0.0,0.0,0.0
2E,0.0,13.0,0.0,0.0,0.0,0.0,5709194.0,0.0,20.0,0.0
2F,0.0,12248.0,0.0,0.0,0.0,12.0,1224548.0,0.0,0.0,0.0
2G,0.0,150927.0,0.0,0.0,0.0,50723.0,1523273.0,0.0,0.0,0.0
3/4G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7178390.0,0.0
3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2386139.0,0.0
3B,0.0,0.0,0.0,0.0,0.0,0.0,2164.0,0.0,1672390.0,0.0
3C,0.0,0.0,0.0,0.0,0.0,0.0,9651.0,0.0,5219032.0,0.0
3D,0.0,0.0,0.0,0.0,0.0,0.0,76590.0,0.0,10449948.0,0.0
3E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6420143.0,0.0
3F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4408435.0,0.0
4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5079511.0,0.0,0.0
4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7411030.0,0.0,2418.0
4C,0.0,0.0,0.0,0.0,0.0,44850.0,0.0,2588026.0,0.0,0.0
4D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2918501.0,0.0,115.0
4E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420855.0,0.0,0.0
5A,0.0,0.0,0.0,0.0,0.0,419.0,0.0,528489.0,0.0,6712097.0
5B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7049831.0
5C,0.0,0.0,8688.0,0.0,0.0,28561.0,0.0,0.0,0.0,8964945.0
5D,11998.0,612.0,8282.0,0.0,0.0,1742.0,0.0,0.0,0.0,4719651.0
5E,0.0,0.0,0.0,0.0,0.0,1135401.0,708907.0,356625.0,0.0,455552.0
5F,0.0,117867.0,0.0,0.0,0.0,1313503.0,2167.0,0.0,0.0,1905198.0
6A,2407570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586.0
6B,3887679.0,47469.0,4540.0,0.0,647186.0,0.0,0.0,0.0,0.0,0.0
6C,1883239.0,412678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6D,0.0,715772.0,0.0,1707.0,8499840.0,0.0,0.0,0.0,0.0,0.0
6E,0.0,2460424.0,0.0,0.0,0.0,0.0,3274.0,0.0,0.0,0.0
7B,33117.0,0.0,7715218.0,16824.0,6299.0,0.0,0.0,0.0,0.0,0.0
7C,0.0,0.0,6507411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7D,2726937.0,0.0,3214741.0,0.0,0.0,0.0,0.0,0.0,0.0,12881.0
7E,0.0,0.0,3692734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7F,693067.0,0.0,3657024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8A,0.0,0.0,1772945.0,1798863.0,627199.0,0.0,0.0,0.0,0.0,0.0
8B,0.0,0.0,1651.0,2644756.0,0.0,0.0,0.0,0.0,0.0,0.0
8C,0.0,0.0,0.0,4966342.0,974894.0,0.0,0.0,0.0,0.0,0.0
8D,0.0,0.0,0.0,16561943.0,654823.0,0.0,0.0,0.0,0.0,0.0
8E,0.0,0.0,0.0,3571067.0,0.0,0.0,0.0,0.0,0.0,0.0
8F,0.0,0.0,0.0,0.0,2346615.0,0.0,0.0,0.0,0.0,0.0
